Age,Education,Occupation,Relationship,Sex,Target
59,HS-grad,Sales,Husband,Male,<=50K
44,HS-grad,Craft-repair,Not-in-family,Female,>50K
53,HS-grad,Sales,Own-child,Female,<=50K
49,HS-grad,Protective-serv,Husband,Male,>50K
33,Masters,Prof-specialty,Husband,Male,<=50K
30,9th,Sales,Not-in-family,Male,<=50K
43,Doctorate,Prof-specialty,Not-in-family,Female,>50K
57,Assoc-voc,Prof-specialty,Husband,Male,<=50K
37,Some-college,Craft-repair,Unmarried,Female,<=50K
28,Some-college,Machine-op-inspct,Unmarried,Female,<=50K
30,HS-grad,Sales,Wife,Female,<=50K
34,Bachelors,Protective-serv,Husband,Male,>50K
29,Some-college,Handlers-cleaners,Not-in-family,Male,<=50K
48,Doctorate,Prof-specialty,Husband,Male,>50K
37,Some-college,Sales,Husband,Male,>50K
48,Assoc-acdm,Exec-managerial,Unmarried,Female,<=50K
32,HS-grad,Other-service,Own-child,Male,<=50K
76,Masters,Exec-managerial,Husband,Male,>50K
44,Bachelors,Exec-managerial,Husband,Male,>50K
47,Masters,Prof-specialty,Not-in-family,Female,<=50K
20,Some-college,Tech-support,Own-child,Female,<=50K
29,HS-grad,Craft-repair,Not-in-family,Male,<=50K
32,HS-grad,Craft-repair,Husband,Male,>50K
17,10th,?,Own-child,Female,<=50K
30,11th,Handlers-cleaners,Own-child,Male,<=50K
31,HS-grad,Adm-clerical,Not-in-family,Female,<=50K
42,HS-grad,Handlers-cleaners,Husband,Male,<=50K
24,Bachelors,Sales,Other-relative,Male,<=50K
38,Prof-school,Prof-specialty,Husband,Male,>50K
56,HS-grad,Other-service,Husband,Male,>50K
28,Some-college,Sales,Wife,Female,<=50K
36,HS-grad,Machine-op-inspct,Own-child,Female,<=50K
53,9th,Handlers-cleaners,Husband,Male,<=50K
56,Some-college,Sales,Husband,Male,<=50K
49,Assoc-voc,Craft-repair,Husband,Male,>50K
55,Some-college,Sales,Husband,Male,<=50K
22,HS-grad,Craft-repair,Not-in-family,Male,<=50K
21,Some-college,Other-service,Own-child,Female,<=50K
40,Bachelors,Exec-managerial,Husband,Male,<=50K
30,Bachelors,Exec-managerial,Own-child,Male,<=50K
29,Bachelors,Prof-specialty,Husband,Male,>50K
19,Some-college,Other-service,Own-child,Male,<=50K
47,Bachelors,Exec-managerial,Wife,Female,>50K
20,Some-college,Adm-clerical,Own-child,Female,<=50K
31,Assoc-acdm,Adm-clerical,Husband,Male,>50K
35,HS-grad,?,Husband,Male,<=50K
39,Some-college,Craft-repair,Not-in-family,Male,<=50K
28,Assoc-acdm,Sales,Not-in-family,Female,<=50K
24,HS-grad,Other-service,Not-in-family,Female,<=50K
38,HS-grad,Craft-repair,Husband,Male,<=50K
37,Bachelors,Sales,Husband,Male,<=50K
46,Assoc-acdm,Tech-support,Not-in-family,Female,<=50K
38,Masters,Prof-specialty,Husband,Male,>50K
43,HS-grad,Craft-repair,Husband,Male,<=50K
27,Assoc-voc,Adm-clerical,Wife,Female,<=50K
20,Some-college,Sales,Own-child,Male,<=50K
49,Some-college,Craft-repair,Husband,Male,>50K
61,HS-grad,Craft-repair,Husband,Male,<=50K
27,Some-college,Sales,Own-child,Female,<=50K
19,Some-college,Other-service,Own-child,Male,<=50K
45,Assoc-voc,Prof-specialty,Not-in-family,Female,>50K
70,Some-college,Tech-support,Other-relative,Male,<=50K
31,HS-grad,Transport-moving,Unmarried,Female,<=50K
22,Some-college,Other-service,Husband,Male,<=50K
36,HS-grad,Other-service,Unmarried,Female,<=50K
64,11th,Craft-repair,Husband,Male,<=50K
43,Some-college,?,Not-in-family,Female,<=50K
47,Some-college,Adm-clerical,Unmarried,Female,<=50K
34,HS-grad,Adm-clerical,Not-in-family,Female,<=50K
33,Bachelors,Exec-managerial,Other-relative,Female,<=50K
21,HS-grad,Craft-repair,Own-child,Male,<=50K
52,HS-grad,?,Not-in-family,Male,>50K
48,HS-grad,Craft-repair,Husband,Male,<=50K
23,Bachelors,Handlers-cleaners,Not-in-family,Male,<=50K
71,Some-college,Sales,Unmarried,Male,<=50K
29,HS-grad,Craft-repair,Not-in-family,Male,<=50K
42,Bachelors,Other-service,Other-relative,Male,<=50K
68,1st-4th,?,Not-in-family,Female,<=50K
25,HS-grad,Other-service,Unmarried,Female,<=50K
44,Masters,Exec-managerial,Unmarried,Female,<=50K
28,HS-grad,Exec-managerial,Not-in-family,Female,<=50K
45,Masters,Sales,Husband,Male,>50K
36,Some-college,Other-service,Unmarried,Female,<=50K
39,Assoc-acdm,Exec-managerial,Not-in-family,Male,<=50K
46,Masters,Protective-serv,Unmarried,Male,<=50K
18,11th,Handlers-cleaners,Own-child,Male,<=50K
66,Assoc-voc,Prof-specialty,Not-in-family,Female,<=50K
27,HS-grad,Other-service,Not-in-family,Male,<=50K
28,HS-grad,Protective-serv,Husband,Male,<=50K
51,Some-college,Sales,Husband,Male,>50K
27,Bachelors,Craft-repair,Not-in-family,Male,<=50K
28,Bachelors,Prof-specialty,Husband,Male,>50K
27,HS-grad,Sales,Unmarried,Female,<=50K
21,HS-grad,Craft-repair,Own-child,Male,<=50K
34,HS-grad,Handlers-cleaners,Not-in-family,Male,<=50K
18,HS-grad,Other-service,Own-child,Male,<=50K
33,Bachelors,Prof-specialty,Husband,Male,<=50K
44,Some-college,Exec-managerial,Husband,Male,>50K
43,Some-college,Adm-clerical,Not-in-family,Female,<=50K
30,Some-college,Craft-repair,Not-in-family,Male,<=50K
40,7th-8th,Machine-op-inspct,Husband,Male,>50K
37,Some-college,Adm-clerical,Husband,Male,>50K
34,HS-grad,Adm-clerical,Husband,Male,<=50K
41,Bachelors,Exec-managerial,Not-in-family,Female,<=50K
53,Bachelors,?,Not-in-family,Female,<=50K
31,Masters,Prof-specialty,Wife,Female,<=50K
58,Doctorate,Prof-specialty,Husband,Male,>50K
38,Some-college,Machine-op-inspct,Not-in-family,Female,<=50K
24,Some-college,Machine-op-inspct,Husband,Male,<=50K
41,Bachelors,Craft-repair,Husband,Male,<=50K
47,Some-college,Tech-support,Husband,Male,<=50K
41,Bachelors,Tech-support,Husband,Male,<=50K
23,5th-6th,Transport-moving,Other-relative,Male,<=50K
36,Some-college,Craft-repair,Not-in-family,Male,<=50K
40,Masters,Exec-managerial,Not-in-family,Female,>50K
35,Masters,Prof-specialty,Other-relative,Male,>50K
24,HS-grad,Sales,Not-in-family,Male,<=50K
26,Masters,Prof-specialty,Not-in-family,Female,<=50K
19,HS-grad,?,Own-child,Male,<=50K
51,Bachelors,Exec-managerial,Husband,Male,>50K
42,Some-college,Prof-specialty,Not-in-family,Female,<=50K
37,HS-grad,Adm-clerical,Unmarried,Female,<=50K
18,11th,Sales,Own-child,Female,<=50K
36,Bachelors,Other-service,Husband,Male,>50K
35,HS-grad,Craft-repair,Not-in-family,Male,<=50K
58,HS-grad,Sales,Wife,Female,>50K
17,11th,Sales,Own-child,Female,<=50K
44,HS-grad,Transport-moving,Husband,Male,<=50K
37,HS-grad,Craft-repair,Husband,Male,>50K
35,Some-college,Sales,Not-in-family,Female,<=50K
60,HS-grad,Craft-repair,Husband,Male,<=50K
54,7th-8th,Machine-op-inspct,Husband,Male,>50K
37,Bachelors,Exec-managerial,Not-in-family,Male,>50K
50,Assoc-acdm,Sales,Not-in-family,Female,<=50K
38,Bachelors,Sales,Husband,Male,<=50K
45,Bachelors,Prof-specialty,Husband,Male,<=50K
25,10th,Craft-repair,Not-in-family,Male,<=50K
31,Some-college,Handlers-cleaners,Husband,Male,<=50K
64,1st-4th,?,Not-in-family,Male,<=50K
90,HS-grad,Other-service,Not-in-family,Male,<=50K
54,HS-grad,Adm-clerical,Husband,Male,<=50K
53,Preschool,Machine-op-inspct,Not-in-family,Female,<=50K
18,HS-grad,Sales,Own-child,Female,<=50K
60,10th,?,Not-in-family,Female,<=50K
66,HS-grad,Farming-fishing,Husband,Male,<=50K
75,Assoc-voc,Adm-clerical,Not-in-family,Female,<=50K
65,HS-grad,Adm-clerical,Not-in-family,Female,<=50K
35,11th,Transport-moving,Not-in-family,Male,<=50K
41,HS-grad,Sales,Unmarried,Female,<=50K
25,Some-college,Adm-clerical,Not-in-family,Male,<=50K
33,Some-college,Craft-repair,Other-relative,Female,<=50K
28,Prof-school,Prof-specialty,Not-in-family,Male,>50K
59,HS-grad,Other-service,Husband,Male,<=50K
40,Some-college,Adm-clerical,Not-in-family,Female,<=50K
41,Bachelors,Exec-managerial,Husband,Male,>50K
38,Masters,Exec-managerial,Husband,Male,>50K
23,HS-grad,Transport-moving,Own-child,Male,<=50K
40,Bachelors,Prof-specialty,Husband,Male,>50K
41,HS-grad,Other-service,Wife,Female,<=50K
24,Assoc-acdm,Protective-serv,Husband,Male,<=50K
20,Some-college,?,Own-child,Male,<=50K
38,Some-college,Craft-repair,Not-in-family,Male,<=50K
56,HS-grad,Adm-clerical,Husband,Male,<=50K
58,HS-grad,Adm-clerical,Husband,Male,>50K
32,HS-grad,Other-service,Not-in-family,Female,<=50K
40,Assoc-acdm,Tech-support,Husband,Male,>50K
45,HS-grad,Adm-clerical,Husband,Male,<=50K
41,Prof-school,Prof-specialty,Wife,Female,>50K
42,Bachelors,Adm-clerical,Wife,Female,<=50K
59,10th,Other-service,Unmarried,Female,<=50K
19,Some-college,Adm-clerical,Own-child,Male,<=50K
58,Some-college,Transport-moving,Not-in-family,Male,<=50K
42,HS-grad,Farming-fishing,Husband,Male,>50K
20,HS-grad,Other-service,Own-child,Female,<=50K
32,HS-grad,Other-service,Not-in-family,Female,<=50K
45,Assoc-voc,Exec-managerial,Not-in-family,Female,<=50K
50,7th-8th,Craft-repair,Not-in-family,Male,<=50K
36,Bachelors,Prof-specialty,Own-child,Female,<=50K
45,HS-grad,Sales,Husband,Male,<=50K
17,11th,Other-service,Own-child,Male,<=50K
59,Some-college,Sales,Husband,Male,<=50K
26,11th,Craft-repair,Husband,Male,<=50K
37,Some-college,Exec-managerial,Husband,Male,>50K
19,Some-college,?,Own-child,Male,<=50K
64,HS-grad,Exec-managerial,Husband,Male,>50K
33,Bachelors,Prof-specialty,Not-in-family,Female,<=50K
33,HS-grad,Craft-repair,Wife,Female,>50K
61,HS-grad,Exec-managerial,Husband,Male,>50K
17,9th,Other-service,Own-child,Male,<=50K
50,Masters,Farming-fishing,Husband,Male,<=50K
27,Masters,Prof-specialty,Own-child,Male,<=50K
30,HS-grad,Prof-specialty,Own-child,Female,<=50K
43,HS-grad,Handlers-cleaners,Husband,Male,<=50K
44,Some-college,Craft-repair,Husband,Male,>50K
35,Some-college,Exec-managerial,Not-in-family,Female,<=50K
25,Some-college,Tech-support,Own-child,Female,<=50K
24,Some-college,Machine-op-inspct,Wife,Female,>50K
22,Bachelors,Prof-specialty,Not-in-family,Female,<=50K
42,Some-college,Craft-repair,Husband,Male,>50K
34,Assoc-acdm,Sales,Unmarried,Female,<=50K
60,Bachelors,Prof-specialty,Not-in-family,Female,<=50K
21,HS-grad,Handlers-cleaners,Own-child,Male,<=50K
57,Masters,Sales,Husband,Male,>50K
41,Prof-school,Prof-specialty,Husband,Male,>50K
50,Some-college,Other-service,Not-in-family,Male,<=50K
25,Bachelors,Exec-managerial,Not-in-family,Female,<=50K
50,7th-8th,Craft-repair,Husband,Male,<=50K
36,Bachelors,Prof-specialty,Husband,Male,<=50K
31,HS-grad,Prof-specialty,Not-in-family,Female,<=50K
29,Bachelors,Protective-serv,Not-in-family,Male,<=50K
21,Some-college,Sales,Own-child,Male,<=50K
27,Bachelors,Tech-support,Unmarried,Female,<=50K
65,HS-grad,Transport-moving,Husband,Male,<=50K
37,Bachelors,Sales,Not-in-family,Female,<=50K
39,Masters,?,Wife,Female,<=50K
24,HS-grad,Craft-repair,Own-child,Male,<=50K
38,HS-grad,Sales,Not-in-family,Male,<=50K
48,Bachelors,Adm-clerical,Husband,Male,>50K
21,Some-college,Other-service,Not-in-family,Female,<=50K
31,HS-grad,Transport-moving,Husband,Male,>50K
55,HS-grad,Sales,Husband,Male,>50K
24,Some-college,Adm-clerical,Wife,Female,<=50K
43,HS-grad,Adm-clerical,Not-in-family,Female,<=50K
26,Assoc-acdm,Tech-support,Not-in-family,Male,<=50K
46,Assoc-acdm,Prof-specialty,Not-in-family,Female,<=50K
35,Assoc-acdm,Adm-clerical,Husband,Male,>50K
41,Some-college,Farming-fishing,Husband,Male,>50K
26,Bachelors,Sales,Not-in-family,Male,<=50K
34,Masters,Exec-managerial,Husband,Male,>50K
19,Some-college,?,Own-child,Female,<=50K
36,Bachelors,Prof-specialty,Not-in-family,Female,>50K
22,Some-college,Sales,Own-child,Male,<=50K
24,Some-college,Machine-op-inspct,Not-in-family,Male,<=50K
77,Some-college,Sales,Husband,Male,<=50K
22,5th-6th,Machine-op-inspct,Other-relative,Female,<=50K
29,Some-college,Tech-support,Not-in-family,Female,<=50K
62,HS-grad,Other-service,Not-in-family,Female,<=50K
39,HS-grad,Exec-managerial,Husband,Male,<=50K
43,Some-college,Craft-repair,Husband,Male,<=50K
35,HS-grad,Transport-moving,Not-in-family,Male,<=50K
29,11th,Exec-managerial,Not-in-family,Female,<=50K
76,Masters,Craft-repair,Husband,Male,<=50K
63,HS-grad,Farming-fishing,Husband,Male,<=50K
23,Assoc-voc,?,Own-child,Female,<=50K
43,Some-college,Prof-specialty,Wife,Female,>50K
58,HS-grad,Handlers-cleaners,Husband,Male,<=50K
66,HS-grad,Transport-moving,Not-in-family,Male,<=50K
41,Some-college,Craft-repair,Not-in-family,Male,<=50K
26,Bachelors,Adm-clerical,Not-in-family,Male,<=50K
47,Assoc-voc,Other-service,Not-in-family,Male,<=50K
55,10th,Adm-clerical,Husband,Male,<=50K
53,HS-grad,Transport-moving,Husband,Male,<=50K
17,5th-6th,Other-service,Other-relative,Male,<=50K
30,HS-grad,Craft-repair,Other-relative,Male,<=50K
49,Masters,Prof-specialty,Not-in-family,Male,<=50K
19,HS-grad,Sales,Unmarried,Male,<=50K
45,HS-grad,Other-service,Husband,Male,<=50K
26,Assoc-acdm,Sales,Not-in-family,Male,<=50K
38,Assoc-voc,Craft-repair,Husband,Male,>50K
36,HS-grad,Protective-serv,Husband,Male,>50K
33,HS-grad,Farming-fishing,Not-in-family,Male,<=50K
22,Some-college,Protective-serv,Own-child,Female,<=50K
43,Bachelors,Sales,Not-in-family,Male,<=50K
67,11th,?,Husband,Male,<=50K
30,Assoc-voc,?,Unmarried,Female,<=50K
56,Assoc-acdm,Other-service,Not-in-family,Male,<=50K
31,Bachelors,Prof-specialty,Own-child,Male,<=50K
33,Bachelors,Exec-managerial,Husband,Male,>50K
26,HS-grad,Other-service,Husband,Male,<=50K
33,Bachelors,Exec-managerial,Husband,Male,>50K
46,11th,Transport-moving,Husband,Male,<=50K
59,Bachelors,?,Husband,Male,>50K
38,HS-grad,Adm-clerical,Husband,Male,>50K
65,11th,Other-service,Unmarried,Male,<=50K
40,Assoc-voc,Tech-support,Husband,Male,>50K
42,HS-grad,Adm-clerical,Wife,Female,<=50K
26,9th,Craft-repair,Husband,Male,<=50K
36,10th,Other-service,Wife,Female,<=50K
62,Masters,Prof-specialty,Husband,Male,>50K
43,Bachelors,Transport-moving,Husband,Male,<=50K
43,Bachelors,Exec-managerial,Not-in-family,Male,>50K
22,HS-grad,Sales,Not-in-family,Male,<=50K
28,HS-grad,Craft-repair,Husband,Male,<=50K
56,Some-college,Sales,Husband,Male,<=50K
22,Assoc-acdm,Sales,Not-in-family,Female,<=50K
57,Bachelors,Exec-managerial,Not-in-family,Female,>50K
39,HS-grad,Sales,Unmarried,Female,<=50K
26,Some-college,Adm-clerical,Unmarried,Female,<=50K
17,11th,Other-service,Own-child,Male,<=50K
40,Assoc-voc,Machine-op-inspct,Husband,Male,>50K
45,HS-grad,Machine-op-inspct,Husband,Male,<=50K
44,HS-grad,Craft-repair,Not-in-family,Male,<=50K
20,Some-college,Adm-clerical,Own-child,Female,<=50K
33,HS-grad,Craft-repair,Wife,Female,<=50K
23,Some-college,Sales,Not-in-family,Male,<=50K
46,Masters,Exec-managerial,Not-in-family,Male,<=50K
38,HS-grad,Sales,Husband,Male,<=50K
54,HS-grad,Transport-moving,Not-in-family,Male,<=50K
46,5th-6th,Craft-repair,Not-in-family,Female,<=50K
25,Some-college,Craft-repair,Husband,Male,<=50K
46,Some-college,Sales,Not-in-family,Female,<=50K
36,Some-college,Transport-moving,Wife,Female,<=50K
23,HS-grad,Other-service,Not-in-family,Female,<=50K
29,HS-grad,Machine-op-inspct,Not-in-family,Male,<=50K
44,Some-college,Adm-clerical,Wife,Female,>50K
19,Some-college,Adm-clerical,Own-child,Female,<=50K
19,HS-grad,Other-service,Other-relative,Female,<=50K
35,HS-grad,Other-service,Wife,Female,>50K
27,Bachelors,Craft-repair,Not-in-family,Male,<=50K
46,Assoc-acdm,Craft-repair,Not-in-family,Male,<=50K
34,Bachelors,Exec-managerial,Husband,Male,>50K
34,HS-grad,Other-service,Not-in-family,Female,<=50K
44,Some-college,Tech-support,Husband,Male,<=50K
45,Some-college,Handlers-cleaners,Unmarried,Female,<=50K
20,HS-grad,?,Other-relative,Female,<=50K
25,Bachelors,Exec-managerial,Husband,Male,>50K
52,Bachelors,Exec-managerial,Husband,Male,>50K
20,Some-college,Handlers-cleaners,Own-child,Male,<=50K
28,Some-college,Other-service,Not-in-family,Female,<=50K
50,Bachelors,Protective-serv,Husband,Male,>50K
34,Assoc-voc,Tech-support,Not-in-family,Female,<=50K
28,7th-8th,Handlers-cleaners,Husband,Male,<=50K
41,Masters,Exec-managerial,Husband,Male,>50K
28,HS-grad,Adm-clerical,Husband,Male,<=50K
46,HS-grad,Craft-repair,Husband,Male,<=50K
28,Some-college,?,Wife,Female,>50K
32,Some-college,Exec-managerial,Husband,Male,<=50K
41,Some-college,Other-service,Not-in-family,Female,<=50K
24,HS-grad,Handlers-cleaners,Unmarried,Female,<=50K
33,Some-college,Exec-managerial,Unmarried,Female,<=50K
46,Doctorate,Exec-managerial,Husband,Male,>50K
31,Some-college,Machine-op-inspct,Husband,Male,<=50K
35,12th,Craft-repair,Not-in-family,Male,>50K
52,1st-4th,Machine-op-inspct,Husband,Male,<=50K
30,11th,Other-service,Own-child,Female,<=50K
34,11th,Machine-op-inspct,Not-in-family,Male,<=50K
34,HS-grad,Transport-moving,Unmarried,Female,<=50K
20,Some-college,Sales,Husband,Male,<=50K
17,11th,Handlers-cleaners,Own-child,Male,<=50K
32,Bachelors,Exec-managerial,Wife,Female,>50K
29,HS-grad,Farming-fishing,Not-in-family,Male,<=50K
33,10th,Craft-repair,Unmarried,Female,<=50K
25,HS-grad,Transport-moving,Husband,Male,<=50K
36,Masters,Prof-specialty,Not-in-family,Male,<=50K
23,HS-grad,Handlers-cleaners,Not-in-family,Male,<=50K
63,HS-grad,Exec-managerial,Husband,Male,>50K
47,Masters,Prof-specialty,Husband,Male,<=50K
80,HS-grad,?,Not-in-family,Male,<=50K
17,11th,?,Own-child,Male,<=50K
40,Bachelors,Prof-specialty,Not-in-family,Female,<=50K
30,Assoc-acdm,Other-service,Wife,Female,>50K
27,Some-college,Craft-repair,Own-child,Male,<=50K
33,Masters,Prof-specialty,Husband,Male,>50K
34,HS-grad,Farming-fishing,Not-in-family,Male,<=50K
34,Some-college,Protective-serv,Not-in-family,Female,<=50K
23,Some-college,Adm-clerical,Husband,Male,<=50K
42,Some-college,Adm-clerical,Wife,Female,<=50K
29,Bachelors,Prof-specialty,Not-in-family,Male,<=50K
45,HS-grad,Adm-clerical,Not-in-family,Female,<=50K
24,HS-grad,Armed-Forces,Own-child,Male,<=50K
44,Some-college,Prof-specialty,Husband,Male,>50K
27,9th,Craft-repair,Other-relative,Male,<=50K
20,Some-college,Sales,Not-in-family,Male,<=50K
44,HS-grad,Exec-managerial,Unmarried,Female,<=50K
51,HS-grad,Craft-repair,Husband,Male,<=50K
20,HS-grad,Machine-op-inspct,Husband,Male,<=50K
17,11th,?,Own-child,Female,<=50K
19,HS-grad,Machine-op-inspct,Own-child,Female,<=50K
45,Some-college,Craft-repair,Husband,Male,>50K
60,HS-grad,Craft-repair,Husband,Male,>50K
42,Assoc-acdm,Exec-managerial,Husband,Male,>50K
44,HS-grad,Sales,Wife,Female,>50K
40,Assoc-voc,Machine-op-inspct,Husband,Male,>50K
30,HS-grad,Exec-managerial,Wife,Female,<=50K
38,Some-college,Transport-moving,Husband,Male,<=50K
23,HS-grad,Transport-moving,Husband,Male,<=50K
32,Some-college,?,Husband,Male,<=50K
44,Assoc-acdm,Farming-fishing,Own-child,Male,<=50K
54,HS-grad,Transport-moving,Husband,Male,<=50K
32,Bachelors,Prof-specialty,Husband,Male,<=50K
50,1st-4th,Craft-repair,Unmarried,Male,<=50K
24,Bachelors,Tech-support,Not-in-family,Female,<=50K
37,HS-grad,Adm-clerical,Wife,Female,<=50K
52,HS-grad,Transport-moving,Unmarried,Male,<=50K
38,Some-college,Transport-moving,Husband,Male,<=50K
49,Masters,Exec-managerial,Husband,Male,>50K
30,Bachelors,Tech-support,Wife,Female,>50K
60,Some-college,Prof-specialty,Unmarried,Male,>50K
22,Some-college,?,Own-child,Male,<=50K
35,HS-grad,Craft-repair,Not-in-family,Male,<=50K
30,HS-grad,Transport-moving,Not-in-family,Male,<=50K
67,Assoc-voc,Other-service,Not-in-family,Female,<=50K
46,Bachelors,Craft-repair,Not-in-family,Female,<=50K
17,9th,Other-service,Not-in-family,Male,<=50K
22,Some-college,Handlers-cleaners,Own-child,Male,<=50K
27,10th,Other-service,Not-in-family,Male,<=50K
23,HS-grad,Other-service,Unmarried,Female,<=50K
33,Assoc-acdm,Craft-repair,Husband,Male,<=50K
43,Some-college,Craft-repair,Husband,Male,<=50K
28,Bachelors,Prof-specialty,Not-in-family,Male,<=50K
41,HS-grad,Craft-repair,Unmarried,Female,<=50K
52,12th,?,Other-relative,Male,<=50K
25,Some-college,Adm-clerical,Own-child,Female,<=50K
63,1st-4th,?,Husband,Male,<=50K
59,HS-grad,Transport-moving,Husband,Male,<=50K
45,Bachelors,Prof-specialty,Unmarried,Female,<=50K
38,Bachelors,Sales,Husband,Male,>50K
40,HS-grad,Other-service,Not-in-family,Female,<=50K
46,HS-grad,Adm-clerical,Not-in-family,Male,<=50K
35,Assoc-acdm,Exec-managerial,Not-in-family,Female,<=50K
34,HS-grad,Prof-specialty,Unmarried,Female,<=50K
33,Bachelors,Craft-repair,Own-child,Male,<=50K
41,HS-grad,Adm-clerical,Unmarried,Female,<=50K
20,Some-college,Machine-op-inspct,Own-child,Male,<=50K
23,5th-6th,Other-service,Own-child,Male,<=50K
26,Some-college,Prof-specialty,Not-in-family,Female,<=50K
72,HS-grad,?,Husband,Male,<=50K
23,HS-grad,Farming-fishing,Not-in-family,Male,<=50K
62,HS-grad,Transport-moving,Husband,Male,<=50K
52,Some-college,Adm-clerical,Husband,Male,<=50K
58,Some-college,Other-service,Unmarried,Female,<=50K
25,Bachelors,Sales,Not-in-family,Female,<=50K
24,Bachelors,Exec-managerial,Not-in-family,Male,<=50K
19,Some-college,Protective-serv,Own-child,Male,<=50K
43,Some-college,Exec-managerial,Husband,Male,<=50K
47,HS-grad,Adm-clerical,Unmarried,Female,<=50K
