body,target
"In recognition of the brave and altruistic Americans who risk their health and safety for the greater good, Pentagon officials announced Thursday that the U.S. military would honor the sacrifices of NFL players by wearing their jerseys throughout December. “Every week, these men are out there on the gridiron, putting their bodies on the line for our country. Having our soldiers wear these jerseys and caps is the least we can do to show our support,” said Pentagon spokesperson Robert D’Amato, who announced that all active-duty soldiers would be sporting gear from all 32 teams to raise awareness of the people who put their lives aside to preserve the American way of life. “These men leave their homes and their families and travel to cities across the country to uphold our nation’s traditions. They are battered and bruised for years, their lives often cut short while we sit back in our barracks and enjoy our freedom. Some of them are never the same after they end their service, and yet we take them for granted. Hopefully, this small gesture shows that the soldiers and officers of the U.S. military know who the true heroes really are.”",1
"Welling up with emotion upon finally setting foot on the hallowed tile surface, college senior Anthony Harper fulfilled his lifelong dream Saturday after finally being allowed to shower with the Notre Dame football team. “A lot of people told me I would never make it into these showers, but I knew that if I worked hard and never quit, I have what it takes to strip down and lather up with Notre Dame football,” said Harper, who received an ovation from the team after coach Brian Kelly tossed him some conditioner and told him to “get on in there.” “Every week for the last three years, I would sit on the bench in this locker room and watch the team shower, wishing I could be in there with them. I always thought I was too small to soap up with Notre Dame, but it just goes to show that with enough grit and determination, anyone can achieve their lifelong dream to bathe with a college football team.” Harper added that finally getting to shower with Notre Dame was made even more special by having his entire family there to witness it.",1
"In an announcement perceived as a major reassurance to parents of children with low cognitive abilities, subpar reasoning skills, or who are simply “not all there,” top national pediatric health experts released a report Monday which claims that full-contact football poses little risk to children whose brains already don’t work too well. “Tackle football has long been known to be a high-risk sport, particularly for children under 12, but face it—some of these poor little guys are real knuckle-draggers, so why take away their fun? I mean, what do they have to lose?” said University of Chicago childhood development expert Dr. Maureen Clifford, whose neuropathological research led her to the conclusion that the risk of chronic traumatic encephalopathy caused by repeated or severe head impacts in children is mitigated by more than 90 percent in cases where the youth presented signs of being a huge dumbass and clearly had a couple screws loose already. “Of course, CTE is the most significant danger when it comes to contact sports like football, and the ages 10 to 18 are especially crucial to healthy neurological growth. But what are the symptoms of CTE? Mood swings, difficult thinking, memory loss? If that sounds like your kid, it’s because your precious little dude is already kind of a bonehead. Blocking, tackling, and getting hit on crossing routes are the least of the reasons why they’re acting like such a goddamn idiot all the time.” The study concluded that, for many of these halfwits, football is in fact their only shot at success.",1
"Staring wide-eyed at the table full of unopened presents being largely ignored by guests, local man Rick Joseph reportedly watched helplessly Friday as the White Elephant exchange completely devolved into friends just chatting and having a nice time. “Christ, it should have been my turn to pick a gift over an hour ago, but we keep getting derailed by everyone blabbing on and on about what they’re doing for fucking Christmas,” said Joseph, who was forced to listen to friends engaged in pleasant conversations about family traditions, favorite holiday recipes, and beloved childhood memories of the festive season. “Ugh, this is a goddamn disaster. These chumps should be strategizing about which person they’re going to screw over to get the best present, but instead they’re wasting this time trying to bond. No one is even fighting. This is the last time I invite people over for a holiday party.” Joseph confirmed that the evening turned into an utter nightmare after his friends began singing their favorite Christmas carols.",1
"Detailing the extensive backstories of the wall hangings and how he came to acquire them, local man Richard Minhas was methodically explaining Thursday the origin of every poster hanging in his apartment. “This one over here is a print of a Japanese woodblock I got from the Philadelphia Museum of Art, and then the one right next to it is a vintage Tylenol advertisement I picked up at a garage sale,” said Minhas, ushering his guest around the 750-square-foot space, stopping by the placards, which included an old-timey map of Arizona and a reproduction of a 1977 Fleetwood Mac tour poster, to elucidate their content as well as his personal connection to the pieces. “I really like this French movie The Wages Of Fear, so I placed it next to this other poster for Bicycle Thieves, since they’re both movies. As for these ones in the kitchen, this is a taxonomic chart cataloguing a bunch of varieties of mushrooms, this one is the same thing but with spices, this one is a diagram of a cow showing all the cuts of beef, and then this is an old sign advertising fresh tomatoes I got at a farmers market.” After he finished explaining all the posters, Minhas reportedly expounded on every keepsake on his bookshelf. ",1
"Sighing in exasperation and repeatedly checking the clock as he completed a number of menial tasks, area man Alan Stover confirmed Wednesday he had spent a long day at work waiting until he could finally go home and be lonely. “It’s so annoying having to be here in the office doing all this tedious paperwork when I could be sitting there all alone in my empty apartment,” said Stover, telling reporters he was “counting down the minutes” until he could at long last go home, stretch out on the sofa, and just feel hollow inside for the rest of the evening. “By the time I get out of the afternoon meeting and finish all these spreadsheets, I’ll be lucky if I can still putter around my apartment, eat leftover takeout in front of the microwave, vacantly scroll through Netflix, blearily mutter ‘time for bed’ to myself, and fall asleep before I have to start the whole thing over again tomorrow. God, it feels like five o’clock will never come.” At press time, Stover was reportedly frustrated after his evening plans were ruined by a text inviting him to a bar for a friend’s birthday.",1
"Saying that he had “a really good feeling about today,” excited firefighter Pat Morales, 37, took the first opportunity he had on his Wednesday shift to check his fire station’s drop-off bin for any unwanted babies that may have come in while the crew was away. “Every time I come to work, I try to be the first one to the bin to check for babies—it’s really the best part of my day,” a grinning Morales told reporters as he gleefully unlocked the climate-controlled box outside of Saint Paul Fire Station 19 and felt around the padded interior, being careful to check to see if any infants were clogging the chute or had perhaps become stuck in the slot. “It just makes you feel special when you come back from a hard day of fighting fires and there’s a fresh baby warming up in the drop box. Even if we’ve only been out for an hour, I always check the bin when we get back. You never know!” According to his coworkers, Morales is always the first to volunteer every year to decorate the newly donated babies for the holidays.",1
"Declaring his willingness to put the whole phase of his life behind him once and for all, 28-year-old man Neil Donovan confirmed Tuesday that he had finally found it in himself to forgive himself for a terrible mistake he made two seconds ago. “This has been an albatross around my neck for what sometimes seems like several seconds, but I think it’s time that I finally accept myself for what I’ve grown into and move on,” said Donovan, adding that he was looking forward to starting his life’s next chapter unencumbered by the relentless guilt and self-loathing that consumed every waking moment of his past two seconds. “Honestly, letting go lifted a huge weight from my shoulders. It took real soul searching, painful admissions about who I really was back then, and, ultimately, personal growth and maturation for me to realize that I can’t keep living in my immediate past. Eventually, I was granted a fresh perspective, and I came to accept that there will be a time, perhaps 10 seconds from now, when I won’t even remember that any of this happened.” Donovan also admitted he still does not understand how his wife could bear the emotional strain of living with grudges stemming from something he did over 14 seconds ago.",1
"Admitting that he thought he would have moved on by now, 28-year-old marketing analyst Garrett Moore reportedly grew wistful and teary-eyed Monday while revealing that everything still reminded him of Her. “Even the breeze in the park reminds of the cool rush of air conditioning I felt in the theater that night when I first saw Her,” said Moore, adding that everything from the smell of buttered popcorn to the sweet taste of raspberry iced tea brought back torrents of vivid memories that could always be traced back to Her. “When I close my eyes, I can picture Her so clearly. Any time I hear that Kim Deal song “Are You Mine?” I recall those few fleeting hours we spent together in the summer of 2013. I’ve rarely seen Her since I left the theater that night. About a year ago, I saw Her across the room at a party, but didn’t have the courage to approach. Maybe it’s for the best. Either way, I’ll always cherish what we had back then.” At press time, Moore confirmed that the $13.29 he paid for that magical night with Her was the best money he’d ever spent.",1
"Struggling to explain her positive emotional state, area woman Erin Kinney reportedly spent Monday wondering why she was suddenly happy despite not having purchased anything recently. “Huh, that’s weird. Why do I feel so content right now? I don’t think I splurged on anything today, but maybe I just forgot,” said Kinney, who then proceeded to scroll back through her Amazon order history to double check if she had purchased anything that had momentarily slipped her mind. “I swear I must have bought, like, a new sweater, a fancy candle, or some expensive Korean face masks to make myself this cheerful and energized, but I looked at my credit card statement and I apparently I didn’t buy a single thing—not even groceries. Did I go to Target recently? I don’t have any memory of going shopping, but why else would I feel so good?” At press time, Kinney told reporters that she had become so flustered by the whole situation that she had no choice but to run out to a local drug store and buy herself a little pick-me-up.",1
"Calling the product the must-have item for true music connoisseurs, Bose officials announced Friday the release of the new W85 headphones that are specifically optimized for listening to Whitney Houston’s “How Will I Know.” “We’re proud to introduce the W85 as the next generation in Whitney optimization,” said spokesperson Kathleen Campbell, touting the new headphones’ variety of customized features designed to enhance listener experience of the highs, lows, and key changes of the 1985 chart-topping hit. “With these new headphones, listeners can be sure they’re receiving the premiere ‘How Will I Know’ experience, from the song’s opening beats all the way to its iconic tenor saxophone solo—not to mention the smooth, powerful voice of Houston herself. The upbeat anthem of young love even comes preloaded onto the headphones on a six-hour loop, so there’s nothing to plug in or download. You’ll never listen to ‘How Will I Know’ the same way again.” Bose also teased the upcoming release of a new $4,000 home entertainment system optimized for “How Will I Know.”",1
"Fresh off her victory in last night’s finale of The Voice, 16-year-old country singer Chevel Shepherd told reporters Wednesday she was excited to use the $50 Chili’s gift card she received for winning the televised singing competition. “After all those months of hard work, to win 50 bucks to spend on anything I want at Chili’s—it’s truly a dream come true!” said Shepherd, revealing that she planned to select items from the casual dining chain’s three-for-$10 menu in order to make the most of her winnings. “There were definitely moments during the competition when I didn’t know if I truly had what it takes to win. But my coach, Kelly [Clarkson], just encouraged me to visualize myself walking off the stage with that gift card in my hand, and that’s what kept me going. I’ll definitely be treating her to some Southwestern egg rolls or Cajun chicken pasta! I am very blessed.” Shepherd added that she was proud of the other three finalists, who each received a coupon for half-off any entrée from Chili’s, and suggested maybe they could all go out to celebrate together sometime.",1
"Saying the news would come as a big disappointment to her, former CBS chairman and CEO Les Moonves confided to reporters Tuesday that he was uncertain how to tell his wife Julie Chen he didn’t get the $120 million bonus he had been expecting from the company. “She’s going to be so upset with me when she finds out,” said Moonves, adding that he could put off breaking it to Chen for a little while, but that eventually she would wonder what had happened to the nine-figure sum he had promised her he would be receiving upon his exit from CBS. “Julie was so excited when I told her about the big bonus I’d be getting this year. She even left her job at The Talk because I made it sound like a sure thing. Gosh, what if she’s already spent some of it?” At press time, Moonves was reportedly worried that his wife had begun to suspect something was up after he canceled the big vacation they’d been looking forward to.",1
"Pushing back against what they view as political correctness run amok, DJs at local radio station 104.5 “The Cat” were defiantly playing “The Little Drummer Boy” on repeat Tuesday despite claims that the Christmas standard contains sexually predatory themes. “This is a classic song, and the manufactured outrage surrounding it won’t frighten us into taking it off the air,” said Director of Programming Darren Boccia, telling reporters that he rejected the modern interpretation of a hidden, coercive meaning behind lyrics like “Come they told me” and “Pa rum pum pum pum.” “I grew up singing this song, my kids grew up singing it, and we’re not going to stop playing it because a few people with dirty minds have constructed some perverse narrative about the ox and ram keeping time that no one was thinking about when the song was written in the 1940s. We’ll be playing ‘The Little Drummer Boy’ 24/7 until Christmas, and if people don’t like it, they can switch to a different station.” Boccia added that the station would continue its years-long practice of refusing to play “Silver Bells” due to the song being an obvious affront to Christ.",1
"Expressing regret after being misled by the ruthless stunt, the Rock & Rock Hall of Fame rescinded the nomination they offered to The Cure Thursday after discovering the band was voted in as a cruel prank by popular kids. “We will no longer be inducting The Cure to the Hall after learning they were selected to join our 2019 class by a group of jocks and preps who wanted to mess with the shy band,” said the organization’s president Greg Harris, as the goth rock group’s initial excitement quickly turned to despair after learning of the mischievous trick, causing the sensitive members to cry so hard their makeup streaked down their faces. “While we appreciate The Cure’s musical contributions, the band will not be taking part in our annual ceremony. We feel for the group—they thought they were finally being accepted, but it turns out the cool kids just wanted to embarrass them.” At press time, the organization had inducted the Dave Matthews Band instead.",1
"Your spectacular canoeing death will owe much to the life’s work of David Bushnell (1742-1824), inventor of the submersible anti-ship mine.",1
"Each year, Americans celebrate New Year’s Eve by resolving to change some aspect of their lives. What is your New Year’s resolution?",1
"Calling the feminine hygiene product the perfect way to usher in 2019 with comfort and style, Kotex introduced their new line of Confetti Popper Tampons Friday to help ring in the new year. “When the clock strikes midnight, simply pull the string on one of our sleek, slim Confetti Popper tampons to join the festivities without worrying about what level of flow the new year might bring,” said Kotex CEO Thomas J. Falk, explaining that a charge of compressed air inside the tampon launches a colorful and highly-absorbent blend of streamers and confetti into the user’s body. “With comfortable insertion and a festive noisemaker removal, there’s no better way to tell the world, ‘2019, here I come!’” At press time, Kotex had issued a recall of the product after hundreds of complaints of toxic shock syndrome caused by the tampon’s glittery “Happy New Year!” banner accidentally unfolding while still inside their bodies.",1
"O socialism America Oprah Obama O'Rourke Ocasio Michelle Obama, Barack Obama, Oprah Winfrey, Beto O‘Rourke, Ocasio-Cortez, these are all darlings of the socialist democrat party in America who all have something in common, the letter ‘o’. What is it about the letter ‘o’ that is so endearing to the socialists and their dream of turning America into a pseudo-communist socialist state resembling Venezuela? We asked Democrat party official Oona Menendez, the same question. “Why is the letter ‘o’ so important for Democrat politicians, especially regarding elections?” She replied quite succinctly: “Candidates have a greater success with the letter ‘o’ in their name because it breeds familiarity. Like with an ‘o’ people immediately know they’re safe, they are guaranteed socialism or communism. We adopted the significance of ‘o’ after eight years of Barack Obama rule. He was the first big ‘o’ which denoted ‘change’ and he brought in much socialist and Marxist changes to America, which is sadly being eroded by the current president. ‘O’ also stands for the circle, inclusivity, globalism, and collectivism. The main reason though, as I mentioned before, is familiarity, because when a voter is about to tick the box on election day, all they have to look for is where the Os are. If you see an ‘o’ on the first or last name, that’s who you vote for — Democrat. It’s really as simple as that.” We asked her where ‘Hillary’ fits into this? “She doesn’t. Never has, never will.” ",1
"“Did you see those golden globes?” an excited reveller asks. “Wow! Those are the most amazing golden globes I’ve seen in years. They deserve first prize,” another excited viewer reveals. Globetastic Globes Globes, globes, golden globes, globulating everywhere. Look left and you see globes, look right and even more globes, the globes are so astounding that it can hurt your neck from looking. There’s something about Red Carpet globes though, because they have a certain je ne sais quoi, a certain class to them, they have been tastefully presented for the world to look at and admire their intrinsic beauty. There is certainly nothing tacky about these globes put on full display for the whole globe to see. “Does it matter if the globes bounce a little or do you think stationary globes are more tasteful?” one commentator asks. “Personally I prefer a delicate balance, maybe a little bounce, but it’s how the light hits the curve of the globes that matter most for me,” the friend answers eagerly. This year’s Golden Globe awards leave no doubt that Hollywood breeds some of the best globes in the world. Golden Globe award watchers from all over the globe have congregated to check out globes, globes, and more globes. ",1
"Amedeo Modigliani (1884–1920) The ever present insanity of Big Brother Google and its puritanical push to meddle with every step the Daily Squib takes is taking a toll on our patience. Showcasing a masterpiece from renowned painter Modigliani is now deemed as sexual perversion by internet monopoly Google who threatened to disable our ads on the front page. This sort of puritanical nonsense is possibly just another way of punishing the Squib on a constant basis but what is for certain, it is highly illogical and goes against any artistic sensibilities or reason. The Modigliani nudes are world famous and displayed in art galleries worldwide, having said that, it is inconsistent with normal human behaviour to ban a nude painting of a woman because it is an artistic representation of the female form created by an artist. It boggles the mind the amount of censorship that is being doled out on a constant basis on our site, and we can only suppose we are being specifically targeted by Google to thwart every operation we do. We cannot joke, we cannot display art, we cannot write satire, we cannot do anything anymore without being censored by the humourless, anti-art, anti-satire, anti-creativity company called Google. This injustice, is of course not deemed as important by others, and the double standards reek of a witch hunt against satire sites like ours who have a different opinion, and dare to speak freely. Whilst Google allows other sites to display scenes of torture, violence, paedophilia and perverted sexual content, we simply displayed a painting of a Modigliani nude painting and were summarily punished. There is a nefarious air about the level of censorship, that is certainly even more pervasive than was witnessed under Soviet Russia’s era of discontent or any dystopian nightmare scenario dreamed up by George Orwell. As for Modigliani, what would he have said if his nudes were deemed as offensive. Naturally he would have spat in the face of his accusers, and called them a few well chosen names, before leaving in pure disgust. Nu couché (We have not posted a picture of the painting because it is deemed sexually offensive by Google but it can be viewed on the Wikipedia link above) Known in English as Red Nude or Reclining Nude is a 1917 oil on canvas painting by the Italian artist Amedeo Modigliani. It is one of his most widely reproduced and exhibited paintings. The painting was sold for a cool $170,405,000 at a Christie’s New York sale on 9 November 2015, a record for a Modigliani painting and placing it high among the most expensive paintings ever sold. The purchaser was the Chinese businessman Liu Yiqian. The painting is one of a famous series of nudes that Modigliani painted in 1917 under the patronage of his Polish dealer Léopold Zborowski. It is believed to have been included in Modigliani’s first and only art show in 1917, at the Galerie Berthe Weill. Christie’s lot notes for their November 2015 sale of the painting observed that this group of nudes by Modigliani served to reaffirm and reinvigorate the nude as a subject of modernist art. All we can say in pure disgust is one day we hope the ghost of Modigliani haunts you Google, and the robotic soulless pieces of detritus you have working for you censoring art and the Daily Squib.",1
"If you think another year after the previous year is going to make any difference to the world and your life, stop kidding yourself. We all still live in a surveillance society where every part of our lives and info is dissected, analysed and stored in databases, we still live in a world where idiots run amuck in a state of perpetual outrage demanding less freedom and more censorship, we still live in a world where people believe in supernatural beings that can rise from the dead, walk on water, and turn water into wine. C’mon it’s just another fucking year. You have just passed another year, and now have less time to live on earth, and what an earth this has become, an overcrowded cesspool filled with garbage in the seas, plastic everywhere and pollution reaching every part of the once pure soil, now just a concrete mess clouded by fumes, cow farts, and mountains of human waste. It will certainly be another year in politics, and the lies will continue, as nothing changes, or will ever change. They only give you a few choices for a reason in an election, because both sides are merely different parts of the same coin. The controllers always own both sides, and the reason for ‘elections’ in a ‘democratic’ society is to present a few well-selected fresh faces, otherwise people get tired and riot. The elites in 2019 will most probably be quivering in their boots, and if it gets too bad, they will simply exit to New Zealand or wherever else they have prepared. One major weakness the elites always encounter is numbers — there are more of the Untermensch than them. The stock market, a place where there will be much terror will naturally keep on falling in 2019. Possibly a 40-60% correction is planned, and if you are holding stocks now, you are sadly a fool with no sense whatsoever. In fact, you deserve every bit of what you get because you did not take your money out earlier at the artificially pumped top. We also have Ebola to look forward to in 2019 as it increases its hold on Africa, much to the chagrin of the West, who keep their open borders systems in place, there is no doubt this horrid virus will spread soon enough. Trump, is now looking to lose in 2020. The purge of supporting Trump voices on all social media sites has been so effective that now there is only one voice — the socialist echo chamber. We will have more authoritarianism, we will have more outrage from the permanently outraged, we will have more censorship and the internet will be cleansed of life, of its soul, and in its place the control freak tech puritans will command over your every thought, they will dictate your every move, and they will tell you how to think and act…and if you don’t obey? Then they delete you from everything. Trump himself has been a huge disappointment. Here is a guy who had big plans. He said he would go after the internet censors and he never did. He said he would limit the all encompassing power of the tech monopolies but he never did. He said he would build a wall but never did, he said he would do so many things but he did not. He said he would dump Obamacare, but never did. Trump is now a man running scared, he is a man who has obviously tried to do some things but has been thwarted at every point by the crazed socialists employing guerilla tactics to get what they want. What about Brexit? How will 2019 be for Britain’s supposed exit from the EU..pfffft? More of the same..No Brexit, no hope of Brexit and no one willing to stand up for democracy and the EU Referendum Leave voters. Because May is bolstered by the elite, she is nigh on impossible to get rid of. The May-bot’s batteries will continue on serving her masters, until she completes her job, they then will take the batteries out themselves — no one else can. All in all, 2019 will be another year where those in charge control every facet of our lives. Another miserable year of non-freedom and slavery ahead then. To all our readers..Happy New Year. ",1
"Theresa May. It’s as simple as that. She and her coterie of Remainers have effectively condemned the Conservative party to thirty or forty years in the political wilderness away from government. It’s safe to say that every day the current PM is in her post is another nail in the coffin for the Tories at the next General Election. It does not matter if she resigns just before the election as she has promised to do, because she will have already committed the necessary damage. Theresa May has vowed to stay on until her BRINO is pushed through parliament. This act will be the defining moment when the Tories will be abandoned. Already, the Americans have stated that May’s deal means no massive trade deals with the US, thus leaving the UK with nothing. Already, Lord Haw Haw Hammond is again trying to thwart a Clean Brexit by withholding special funds for a No Deal Brexit. Something must be done right now. The UK needs a positive Brexit leader to emphasise the tenets of economic and political freedom away from the EU’s restrictive diktats and authoritarian laws. This is the only way the Conservative party can win back their electorate, otherwise they will suffer for a decades in the political wilderness. ",1
"It is quite rare to see a video that is as divisive and ridiculous as the one above. The footage shows the ultimate division America is suffering at the moment. Civil War is Assured On the one side are the Anti-American Communists, and the other are the Nationalist Capitalists, the Democrat Socialists Vs the Conservatives/Libertarians, the SoyBoys Vs the Testosterone, ultimately however it will all be settled by the people who own guns and are trained in using them. “When it kicks off, the SoyBoys will be first to die. The ANTIFA will not survive either, anti-gun democrats will perish, because they just can’t shoot straight even if they did have a gun. The Conservative American Patriot credo is shoot straight, finish the job, then move on to the next target. “Our divided nation now is hanging by a string. All it will take to trigger the Civil War, will be another economic downturn. Most people are living paycheck to paycheck, give ’em three days without and they will turn to animals to survive. The weakest in the link are the socialists, the safespace soyboys, the communist Antifa, the welfare people, basically democrat voters who have now turned so far left, they believe communism is the only answer. These people will be sitting targets because they’re anti gun and anti-American. It’ll be like shooting ducks in a barrel.” In no uncertain terms, the tragedy of America may only be solved through a final civil war to purge the nation. There are many who are wishing on a civil war so badly, they prepare everyday and will have the biggest smile on their faces when it starts. “It’ll be like Christmas, and all the holidays rolled into one. Imagine my pleasure as I pick off the commie liberal triggered fagg*ts off one by one. There will be no campus safespace for these people to run to, there will be no chant they can say to stop the bullets entering their soft bodies. At their last moment, they will wish they learned how to defend themselves, but it will be too late,” one Libertarian Militia member revealed. As for the technorati, what will happen to them in a civil war? The Silicon Valley CEOs and higher ups will flee the country in their jets leaving their underling employees to get slaughtered. There’s little or nothing an algorithm can do whilst an armed well trained right winger points a modded Ar-50 at your cranium. BANG! Expensive brains splattered all over the wall. It is quite ironic that the easily triggered left will be dispatched so easily by triggers in the guns they hate so much. ",1
